Treatment	Relative Expression (compared to control)	Gene ID	baseMean	log2FoldChange	lfcSE	padj	-Log(P)	Gene Name	Protein	Uniprot SPID	Blast Evalue	Uniprot ID Protein Name	gene_ontology_biological_process
Severe OA (pH 7.5)	Lower	GWK47_041767	583	-0.26	0.07	0.0039	2.41	ZG67	Gastrula zinc finger protein XlCGF67.1				
Severe OA (pH 7.5)	Lower	GWK47_000849	1140	-0.26	0.07	0.0024	2.61		Tetratricopeptide repeat protein 37	Q6DFB8	1.83E-117	Tetratricopeptide repeat protein 37 (TPR repeat protein 37) (Thespin homolog)	nuclear-transcribed mRNA catabolic process [GO:0000956]
Severe OA (pH 7.5)	Lower	GWK47_020653	2927	-0.26	0.11	0.0311	1.51	WBP2	WW domain-binding protein 2	Q969T9	6.47E-42	WW domain-binding protein 2 (WBP-2)	cellular response to estrogen stimulus [GO:0071391]; establishment of protein localization to chromatin [GO:0071169]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of intracellular estrogen receptor signaling pathway [GO:0033148]; positive regulation of transcription by RNA polymerase II [GO:0045944]; progesterone receptor signaling pathway [GO:0050847]; response to estrogen [GO:0043627]; response to progesterone [GO:0032570]; transcription initiation-coupled chromatin remodeling [GO:0045815]
Severe OA (pH 7.5)	Lower	GWK47_028680	845	-0.26	0.09	0.0117	1.93	LPP_2	Lipoma-preferred partner	Q8BFW7	3.09E-115	Lipoma-preferred partner homolog	cell adhesion [GO:0007155]
Severe OA (pH 7.5)	Lower	GWK47_028156	201	-0.27	0.12	0.0365	1.44	rhpn2	Rhophilin-2	Q6TNR1	1.46E-31	Rhophilin-2 (GTP-Rho-binding protein 2)	negative regulation of stress fiber assembly [GO:0051497]; signal transduction [GO:0007165]
Severe OA (pH 7.5)	Lower	GWK47_037629	259	-0.27	0.12	0.0399	1.40	AFDN	Afadin	P55196	9.76E-137	Afadin (ALL1-fused gene from chromosome 6 protein) (Protein AF-6) (Afadin adherens junction formation factor)	bicellular tight junction assembly [GO:0070830]; cell adhesion [GO:0007155]; cell-cell adhesion mediated by cadherin [GO:0044331]; cell-cell signaling [GO:0007267]; establishment of endothelial intestinal barrier [GO:0090557]; establishment of protein localization to plasma membrane [GO:0061951]; negative regulation of cell migration [GO:0030336]; pore complex assembly [GO:0046931]; positive regulation of cell-cell adhesion [GO:0022409]; positive regulation of cell-cell adhesion mediated by cadherin [GO:2000049]; positive regulation of gene expression [GO:0010628]; regulation of protein localization [GO:0032880]; signal transduction [GO:0007165]
Severe OA (pH 7.5)	Lower	GWK47_007361	492	-0.27	0.10	0.0205	1.69	Hdhd5	Haloacid dehalogenase-like hydrolase domain-containing 5	Q91WM2	7.95E-116	Haloacid dehalogenase-like hydrolase domain-containing 5 (Cat eye syndrome critical region protein 5 homolog)	
Severe OA (pH 7.5)	Lower	GWK47_009399	1992	-0.27	0.12	0.0398	1.40	CHRNA7	Neuronal acetylcholine receptor subunit alpha-7	P54131	3.02E-25	Neuronal acetylcholine receptor subunit alpha-7 (nAChR7) (Nicotinic acetylcholine receptor subunit alpha-7)	calcium ion transport [GO:0006816]; chemical synaptic transmission [GO:0007268]; cognition [GO:0050890]; intracellular calcium ion homeostasis [GO:0006874]; monoatomic ion transmembrane transport [GO:0034220]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of tumor necrosis factor production [GO:0032720]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of MAPK cascade [GO:0043410]; regulation of membrane potential [GO:0042391]; response to hypoxia [GO:0001666]; response to nicotine [GO:0035094]; signal transduction [GO:0007165]; synaptic transmission, cholinergic [GO:0007271]
Severe OA (pH 7.5)	Lower	GWK47_029142	2453	-0.27	0.08	0.0068	2.17		hypothetical protein				
Severe OA (pH 7.5)	Lower	GWK47_004897	314	-0.28	0.12	0.0359	1.44	ccnl1	Cyclin-L1	Q9UK58	1.46E-26	Cyclin-L1 (Cyclin-L)	regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of centrosome cycle [GO:0046605]; regulation of RNA splicing [GO:0043484]; regulation of transcription by RNA polymerase II [GO:0006357]
Severe OA (pH 7.5)	Lower	GWK47_037037	206	-0.28	0.12	0.0347	1.46	OSBPL9	Oxysterol-binding protein-related protein 9	Q5R9W4	4.44E-178	Oxysterol-binding protein-related protein 9 (ORP-9) (OSBP-related protein 9)	lipid transport [GO:0006869]
Severe OA (pH 7.5)	Lower	GWK47_030863	925	-0.28	0.09	0.0079	2.10	Rasa1	Ras GTPase-activating protein 1	P20936	8.14E-207	Ras GTPase-activating protein 1 (GAP) (GTPase-activating protein) (RasGAP) (Ras p21 protein activator) (p120GAP)	blood vessel morphogenesis [GO:0048514]; ephrin receptor signaling pathway [GO:0048013]; intracellular signal transduction [GO:0035556]; mitotic cytokinesis [GO:0000281]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell adhesion [GO:0007162]; negative regulation of cell-matrix adhesion [GO:0001953]; negative regulation of neuron apoptotic process [GO:0043524]; regulation of actin filament polymerization [GO:0030833]; regulation of cell shape [GO:0008360]; regulation of RNA metabolic process [GO:0051252]; signal transduction [GO:0007165]; vasculogenesis [GO:0001570]
Severe OA (pH 7.5)	Lower	GWK47_022880	2267	-0.28	0.12	0.0347	1.46	SPAC513.07	putative uncharacterized oxidoreductase	Q9UT59	1.57E-39	Putative uncharacterized oxidoreductase C513.07 (EC 1.1.1.-)	cellular detoxification of methylglyoxal [GO:0140041]
Severe OA (pH 7.5)	Lower	GWK47_005940	221	-0.28	0.13	0.0423	1.37	GPR155	Integral membrane protein GPR155	A2AWR3	2.53E-113	Lysosomal cholesterol signaling protein (LYCHOS)	cellular response to amino acid starvation [GO:0034198]; cellular response to cholesterol [GO:0071397]; cognition [GO:0050890]; intracellular signal transduction [GO:0035556]; positive regulation of TORC1 signaling [GO:1904263]; transmembrane transport [GO:0055085]
Severe OA (pH 7.5)	Lower	GWK47_046728	258	-0.28	0.12	0.0315	1.50		hypothetical protein				
Severe OA (pH 7.5)	Lower	GWK47_031062	504	-0.28	0.08	0.0045	2.34	MFSD14C	Hippocampus abundant transcript-like protein 2	Q5VZR4	1.46E-20	Major facilitator superfamily domain-containing 14C pseudogene (Hippocampus abundant transcript-like protein 2)	
Severe OA (pH 7.5)	Lower	GWK47_025172	553	-0.28	0.11	0.0242	1.62	VPS4A_0	Vacuolar protein sorting-associated protein 4A				
Severe OA (pH 7.5)	Lower	GWK47_020680	2247	-0.28	0.14	0.0442	1.35	slc7a2	Cationic amino acid transporter 2	Q5PR34	4.36E-32	Cationic amino acid transporter 2 (CAT-2) (CAT2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2)	L-arginine import across plasma membrane [GO:0097638]; L-arginine transmembrane transport [GO:1903826]; L-ornithine transmembrane transport [GO:1903352]
Severe OA (pH 7.5)	Lower	GWK47_001054	159	-0.28	0.13	0.0373	1.43		hypothetical protein				
Severe OA (pH 7.5)	Lower	GWK47_018460	654	-0.28	0.09	0.0084	2.07	TBCB_0	Tubulin-folding cofactor B	Q99426	4.04E-13	Tubulin-folding cofactor B (Cytoskeleton-associated protein 1) (Cytoskeleton-associated protein CKAPI) (Tubulin-specific chaperone B)	cell differentiation [GO:0030154]; cytoplasmic microtubule organization [GO:0031122]; nervous system development [GO:0007399]; post-chaperonin tubulin folding pathway [GO:0007023]; tubulin complex assembly [GO:0007021]
Severe OA (pH 7.5)	Lower	GWK47_035780	519	-0.29	0.16	0.0470	1.33		hypothetical protein				
Severe OA (pH 7.5)	Lower	GWK47_015181	123	-0.29	0.13	0.0396	1.40	frtz	WD repeat-containing and planar cell polarity effector protein fritz	Q9VQ36	8.08E-110	WD repeat-containing and planar cell polarity effector protein fritz	cilium organization [GO:0044782]; establishment of protein localization [GO:0045184]; imaginal disc-derived wing hair site selection [GO:0035320]; nervous system development [GO:0007399]
Severe OA (pH 7.5)	Lower	GWK47_021207	563	-0.29	0.11	0.0195	1.71	ATP11B_1	putative phospholipid-transporting ATPase IF	Q9Y2G3	2.01E-179	Phospholipid-transporting ATPase IF (EC 7.6.2.1) (ATPase IR) (ATPase class VI type 11B) (P4-ATPase flippase complex alpha subunit ATP11B)	aminophospholipid transport [GO:0015917]; monoatomic ion transmembrane transport [GO:0034220]; monoatomic ion transport [GO:0006811]; phospholipid translocation [GO:0045332]
Severe OA (pH 7.5)	Lower	GWK47_043931	1284	-0.29	0.09	0.0074	2.13	Xiap	E3 ubiquitin-protein ligase XIAP	Q96P09	8.20E-20	Baculoviral IAP repeat-containing protein 8 (Inhibitor of apoptosis-like protein 2) (IAP-like protein 2) (ILP-2) (Testis-specific inhibitor of apoptosis)	apoptotic process [GO:0006915]; negative regulation of apoptotic process [GO:0043066]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of protein ubiquitination [GO:0031398]; regulation of cell cycle [GO:0051726]
Severe OA (pH 7.5)	Lower	GWK47_023912	932	-0.29	0.15	0.0482	1.32		TPPP family protein	Q9VV43	2.04E-59	Tubulin polymerization-promoting protein homolog (TPPP) (Protein ringmaker)	microtubule bundle formation [GO:0001578]; microtubule cytoskeleton organization [GO:0000226]; microtubule polymerization [GO:0046785]; positive regulation of axon regeneration [GO:0048680]; positive regulation of protein polymerization [GO:0032273]; regulation of synaptic assembly at neuromuscular junction [GO:0008582]
Severe OA (pH 7.5)	Lower	GWK47_043097	138	-0.30	0.14	0.0407	1.39	Gyc76C_0	Receptor-type guanylate cyclase Gyc76C	Q7JQ32	5.40E-40	Receptor-type guanylate cyclase Gyc76C (EC 4.6.1.2) (DrGC-1)	axon guidance [GO:0007411]; axon midline choice point recognition [GO:0016199]; cGMP biosynthetic process [GO:0006182]; defense response to Gram-positive bacterium [GO:0050830]; extracellular matrix organization [GO:0030198]; intracellular signal transduction [GO:0035556]; larval somatic muscle development [GO:0007526]; motor neuron axon guidance [GO:0008045]; primary branching, open tracheal system [GO:0007428]; receptor guanylyl cyclase signaling pathway [GO:0007168]; regulation of BMP signaling pathway [GO:0030510]; response to salt stress [GO:0009651]; salivary gland morphogenesis [GO:0007435]
Severe OA (pH 7.5)	Lower	GWK47_053555	1216	-0.30	0.09	0.0054	2.27	Amfr	E3 ubiquitin-protein ligase AMFR	F1QB30	1.72E-123	E3 ubiquitin-protein ligase AMFR (EC 2.3.2.36) (Autocrine motility factor receptor) (AMF receptor)	endoplasmic reticulum unfolded protein response [GO:0030968]; protein K48-linked ubiquitination [GO:0070936]; protein polyubiquitination [GO:0000209]; response to endoplasmic reticulum stress [GO:0034976]; ubiquitin-dependent protein catabolic process [GO:0006511]
Severe OA (pH 7.5)	Lower	GWK47_047357	395	-0.30	0.08	0.0045	2.34	Rnf25	E3 ubiquitin-protein ligase RNF25	Q5E9N3	9.44E-39	E3 ubiquitin-protein ligase RNF25 (EC 2.3.2.27) (RING finger protein 25)	positive regulation of NF-kappaB transcription factor activity [GO:0051092]; protein ubiquitination [GO:0016567]; rescue of stalled ribosome [GO:0072344]; ubiquitin-dependent protein catabolic process [GO:0006511]
Severe OA (pH 7.5)	Lower	GWK47_040975	423	-0.30	0.14	0.0391	1.41	Abca3_1	ATP-binding cassette sub-family A member 3				
Severe OA (pH 7.5)	Lower	GWK47_035673	13248	-0.30	0.07	0.0013	2.89		hypothetical protein				
Severe OA (pH 7.5)	Lower	GWK47_027625	1523	-0.30	0.13	0.0319	1.50	AOSL	Allene oxide synthase-lipoxygenase protein	O16025	5.08E-70	Allene oxide synthase-lipoxygenase protein [Includes: Allene oxide synthase (AOS) (EC 4.2.1.-) (Hydroperoxidehydrase); Arachidonate 8-lipoxygenase (EC 1.13.11.40)]	arachidonate metabolic process [GO:0019369]; fatty acid biosynthetic process [GO:0006633]; lipid oxidation [GO:0034440]; oxylipin biosynthetic process [GO:0031408]
Severe OA (pH 7.5)	Lower	GWK47_027737	897	-0.30	0.15	0.0339	1.47	ITPK1	Inositol-tetrakisphosphate 1-kinase	Q5F480	8.77E-27	Inositol-tetrakisphosphate 1-kinase (EC 2.7.1.134) (Inositol 1,3,4-trisphosphate 5/6-kinase) (Inositol-triphosphate 5/6-kinase) (Ins(1,3,4)P(3) 5/6-kinase) (EC 2.7.1.159)	inositol trisphosphate metabolic process [GO:0032957]; necroptotic process [GO:0070266]
Severe OA (pH 7.5)	Lower	GWK47_019313	599	-0.30	0.15	0.0499	1.30	ABCA2	ATP-binding cassette sub-family A member 2	Q9BZC7	8.56E-69	ATP-binding cassette sub-family A member 2 (EC 7.6.2.-) (ATP-binding cassette transporter 2) (ATP-binding cassette 2)	central nervous system myelin formation [GO:0032289]; ceramide translocation [GO:0099040]; cholesterol homeostasis [GO:0042632]; ganglioside metabolic process [GO:0001573]; glycosphingolipid metabolic process [GO:0006687]; intracellular sphingolipid homeostasis [GO:0090156]; lipid metabolic process [GO:0006629]; lipid transport [GO:0006869]; locomotory behavior [GO:0007626]; negative regulation of cholesterol efflux [GO:0090370]; negative regulation of intracellular cholesterol transport [GO:0032384]; negative regulation of phospholipid biosynthetic process [GO:0071072]; negative regulation of receptor-mediated endocytosis involved in cholesterol transport [GO:1905601]; negative regulation of sphingolipid biosynthetic process [GO:0090155]; negative regulation of steroid metabolic process [GO:0045939]; positive regulation of amyloid precursor protein biosynthetic process [GO:0042986]; positive regulation of amyloid precursor protein catabolic process [GO:1902993]; positive regulation of amyloid-beta formation [GO:1902004]; positive regulation of low-density lipoprotein particle receptor catabolic process [GO:0032805]; regulation of intracellular cholesterol transport [GO:0032383]; regulation of post-translational protein modification [GO:1901873]; regulation of protein glycosylation [GO:0060049]; regulation of protein localization to cell periphery [GO:1904375]; regulation of protein localization to cell surface [GO:2000008]; regulation of steroid metabolic process [GO:0019218]; response to cholesterol [GO:0070723]; response to steroid hormone [GO:0048545]; response to xenobiotic stimulus [GO:0009410]; sphingomyelin metabolic process [GO:0006684]; sphingosine biosynthetic process [GO:0046512]; transmembrane transport [GO:0055085]; transport across blood-brain barrier [GO:0150104]
Severe OA (pH 7.5)	Lower	GWK47_017340	396	-0.30	0.11	0.0100	2.00	Pka-C1_0	cAMP-dependent protein kinase catalytic subunit	P12370	5.35E-151	cAMP-dependent protein kinase catalytic subunit 1 (PKA C) (EC 2.7.11.11) (Protein kinase DC0)	anesthesia-resistant memory [GO:0007615]; anterior/posterior pattern specification, imaginal disc [GO:0007448]; cAMP-mediated signaling [GO:0019933]; cellular response to ethanol [GO:0071361]; imaginal disc-derived wing morphogenesis [GO:0007476]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of mitochondrial DNA replication [GO:0090298]; negative regulation of nucleocytoplasmic transport [GO:0046823]; negative regulation of smoothened signaling pathway [GO:0045879]; olfactory behavior [GO:0042048]; olfactory learning [GO:0008355]; oocyte anterior/posterior axis specification [GO:0007314]; oocyte microtubule cytoskeleton polarization [GO:0008103]; oogenesis [GO:0048477]; positive regulation of Atg1/ULK1 kinase complex assembly [GO:1905866]; positive regulation of gene expression [GO:0010628]; positive regulation of hippo signaling [GO:0035332]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of smoothened signaling pathway [GO:0045880]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of apoptotic process [GO:0042981]; regulation of bicoid mRNA localization [GO:0008359]; regulation of circadian sleep/wake cycle, sleep [GO:0045187]; regulation of pole plasm oskar mRNA localization [GO:0007317]; rhythmic behavior [GO:0007622]; signal transduction [GO:0007165]; sprouting of injured axon [GO:0048682]; thermosensory behavior [GO:0040040]
Severe OA (pH 7.5)	Lower	GWK47_048471	1851	-0.31	0.11	0.0150	1.82		hypothetical protein				
Severe OA (pH 7.5)	Lower	GWK47_016383	910	-0.31	0.13	0.0242	1.62	LHCGR	Lutropin-choriogonadotropic hormone receptor	P22888	1.75E-93	Lutropin-choriogonadotropic hormone receptor (LH/CG-R) (Luteinizing hormone receptor) (LHR) (LSH-R)	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cellular response to gonadotropin stimulus [GO:0071371]; cellular response to luteinizing hormone stimulus [GO:0071373]; cognition [GO:0050890]; development of secondary male sexual characteristics [GO:0046544]; G protein-coupled receptor signaling pathway [GO:0007186]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; hormone-mediated signaling pathway [GO:0009755]; luteinizing hormone signaling pathway [GO:0042700]; male genitalia development [GO:0030539]; male gonad development [GO:0008584]; ovarian follicle development [GO:0001541]; ovulation cycle process [GO:0022602]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of inositol trisphosphate biosynthetic process [GO:0032962]; regulation of steroid hormone biosynthetic process [GO:0090030]; seminiferous tubule development [GO:0072520]; spermatogenesis [GO:0007283]; uterus development [GO:0060065]
Severe OA (pH 7.5)	Lower	GWK47_041636	305	-0.31	0.10	0.0063	2.20		putative neutral sphingomyelinase	Q9VZS6	5.04E-31	Putative neutral sphingomyelinase (EC 3.1.4.12)	ceramide biosynthetic process [GO:0046513]; sphingolipid catabolic process [GO:0030149]; sphingomyelin metabolic process [GO:0006684]
Severe OA (pH 7.5)	Lower	GWK47_018958	1622	-0.31	0.10	0.0096	2.02	Cad87A	Cadherin-87A	Q9VGG5	1.00E-33	Cadherin-87A	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; cell adhesion [GO:0007155]; cell-cell adhesion mediated by cadherin [GO:0044331]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]
Severe OA (pH 7.5)	Lower	GWK47_032573	67	-0.31	0.16	0.0475	1.32		hypothetical protein				
Severe OA (pH 7.5)	Lower	GWK47_025733	82	-0.31	0.16	0.0464	1.33		hypothetical protein				
Severe OA (pH 7.5)	Lower	GWK47_054222	134	-0.32	0.14	0.0304	1.52		hypothetical protein				
Severe OA (pH 7.5)	Lower	GWK47_032943	1116	-0.32	0.17	0.0485	1.31	mfsd8_0	Major facilitator superfamily domain-containing protein 8	Q8BH31	9.25E-39	Major facilitator superfamily domain-containing protein 8	apoptotic process [GO:0006915]; astrocyte differentiation [GO:0048708]; autophagosome maturation [GO:0097352]; autophagy [GO:0006914]; cellular respiration [GO:0045333]; determination of adult lifespan [GO:0008340]; gene expression [GO:0010467]; gliogenesis [GO:0042063]; glycolipid metabolic process [GO:0006664]; glycolytic process [GO:0006096]; glycoprotein metabolic process [GO:0009100]; inclusion body assembly [GO:0070841]; lysosomal protein catabolic process [GO:1905146]; lysosome organization [GO:0007040]; maintenance of location [GO:0051235]; microglia differentiation [GO:0014004]; mitochondrion organization [GO:0007005]; motor behavior [GO:0061744]; multicellular organism growth [GO:0035264]; negative regulation of neuron apoptotic process [GO:0043524]; neuromuscular process [GO:0050905]; neuron apoptotic process [GO:0051402]; neuron development [GO:0048666]; protein stabilization [GO:0050821]; reactive oxygen species metabolic process [GO:0072593]; regulation of autophagy [GO:0010506]; regulation of lysosomal protein catabolic process [GO:1905165]; retina development in camera-type eye [GO:0060041]; TORC1 signaling [GO:0038202]
Severe OA (pH 7.5)	Lower	GWK47_040047	76	-0.32	0.16	0.0398	1.40	KAT2A	Histone acetyltransferase KAT2A	Q9JHD1	4.78E-15	Histone acetyltransferase KAT2B (EC 2.3.1.48) (Histone acetyltransferase PCAF) (Histone acetylase PCAF) (Lysine acetyltransferase 2B) (P300/CBP-associated factor) (P/CAF) (Spermidine acetyltransferase KAT2B) (EC 2.3.1.57)	cellular response to insulin stimulus [GO:0032869]; cellular response to oxidative stress [GO:0034599]; cellular response to parathyroid hormone stimulus [GO:0071374]; chromatin remodeling [GO:0006338]; gluconeogenesis [GO:0006094]; heart development [GO:0007507]; internal peptidyl-lysine acetylation [GO:0018393]; limb development [GO:0060173]; memory [GO:0007613]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of centriole replication [GO:0046600]; negative regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045736]; negative regulation of rRNA processing [GO:2000233]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of attachment of mitotic spindle microtubules to kinetochore [GO:1902425]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of fatty acid biosynthetic process [GO:0045723]; positive regulation of gluconeogenesis [GO:0045722]; positive regulation of glycolytic process [GO:0045821]; positive regulation of lipid biosynthetic process [GO:0046889]; positive regulation of neuron projection development [GO:0010976]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter by glucose [GO:0000432]; regulation of cell cycle [GO:0051726]; regulation of cell division [GO:0051302]; regulation of DNA repair [GO:0006282]; regulation of DNA-templated transcription [GO:0006355]; regulation of embryonic development [GO:0045995]; regulation of RNA splicing [GO:0043484]; regulation of transcription by RNA polymerase II [GO:0006357]; rhythmic process [GO:0048511]; vasodilation [GO:0042311]
Severe OA (pH 7.5)	Lower	GWK47_037491	1090	-0.33	0.12	0.0166	1.78	A1CF	APOBEC1 complementation factor	Q4R2Z0	7.12E-100	Probable RNA-binding protein 46 (RNA-binding motif protein 46)	cell cycle switching, mitotic to meiotic cell cycle [GO:0051728]; female meiotic nuclear division [GO:0007143]; male meiotic nuclear division [GO:0007140]; oogenesis [GO:0048477]; spermatid differentiation [GO:0048515]; spermatogenesis [GO:0007283]
Severe OA (pH 7.5)	Lower	GWK47_004378	1243	-0.34	0.17	0.0404	1.39	Lama2	Laminin subunit alpha-2	P19137	9.42E-142	Laminin subunit alpha-1 (Laminin A chain) (Laminin-1 subunit alpha) (Laminin-3 subunit alpha) (S-laminin subunit alpha) (S-LAM alpha)	branching involved in salivary gland morphogenesis [GO:0060445]; cell adhesion [GO:0007155]; cell surface receptor signaling pathway [GO:0007166]; epithelial tube branching involved in lung morphogenesis [GO:0060441]; establishment of epithelial cell apical/basal polarity [GO:0045198]; morphogenesis of an epithelial sheet [GO:0002011]; neuron projection development [GO:0031175]; positive regulation of cell adhesion [GO:0045785]; positive regulation of integrin-mediated signaling pathway [GO:2001046]; positive regulation of muscle cell differentiation [GO:0051149]; protein phosphorylation [GO:0006468]; regulation of basement membrane organization [GO:0110011]; regulation of cell migration [GO:0030334]; regulation of embryonic development [GO:0045995]; retina development in camera-type eye [GO:0060041]; retinal blood vessel morphogenesis [GO:0061304]; tissue development [GO:0009888]
Severe OA (pH 7.5)	Lower	GWK47_043182	132	-0.34	0.14	0.0211	1.68	SF3B4	Splicing factor 3B subunit 4	Q15427	5.46E-35	Splicing factor 3B subunit 4 (Pre-mRNA-splicing factor SF3b 49 kDa subunit) (Spliceosome-associated protein 49) (SAP 49)	mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]; U2-type prespliceosome assembly [GO:1903241]
Severe OA (pH 7.5)	Lower	GWK47_048252	2217	-0.35	0.08	0.0005	3.32		hypothetical protein				
Severe OA (pH 7.5)	Lower	GWK47_034735	231	-0.35	0.13	0.0159	1.80		hypothetical protein				
Severe OA (pH 7.5)	Lower	GWK47_012029	1591	-0.35	0.09	0.0020	2.70	NLGN4Y_2	Neuroligin-4, Y-linked	Q8NFZ3	9.26E-65	Neuroligin-4, Y-linked (Neuroligin Y)	learning [GO:0007612]; neuron cell-cell adhesion [GO:0007158]; presynapse assembly [GO:0099054]; social behavior [GO:0035176]; vocalization behavior [GO:0071625]
Severe OA (pH 7.5)	Lower	GWK47_047699	26129	-0.35	0.20	0.0499	1.30	Sqstm1	Sequestosome-1	Q64337	3.55E-13	Sequestosome-1 (STONE14) (Ubiquitin-binding protein p62)	aggrephagy [GO:0035973]; apoptotic process [GO:0006915]; autophagy [GO:0006914]; brown fat cell proliferation [GO:0070342]; cell differentiation [GO:0030154]; endosome organization [GO:0007032]; energy homeostasis [GO:0097009]; immune system process [GO:0002376]; macroautophagy [GO:0016236]; membraneless organelle assembly [GO:0140694]; mitophagy [GO:0000423]; negative regulation of ferroptosis [GO:0110076]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of toll-like receptor 4 signaling pathway [GO:0034144]; negative regulation of transcription by RNA polymerase II [GO:0000122]; pexophagy [GO:0000425]; positive regulation of autophagy [GO:0010508]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of protein localization to plasma membrane [GO:1903078]; protein catabolic process [GO:0030163]; protein import into nucleus [GO:0006606]; protein localization to perinuclear region of cytoplasm [GO:1905719]; protein targeting to vacuole involved in autophagy [GO:0071211]; regulation of canonical NF-kappaB signal transduction [GO:0043122]; regulation of protein complex stability [GO:0061635]; response to ischemia [GO:0002931]; response to mitochondrial depolarisation [GO:0098780]; temperature homeostasis [GO:0001659]; transcription by RNA polymerase II [GO:0006366]
Severe OA (pH 7.5)	Lower	GWK47_030222	114	-0.35	0.19	0.0483	1.32	RNF19A	E3 ubiquitin-protein ligase RNF19A	Q9NV58	1.38E-167	E3 ubiquitin-protein ligase RNF19A (EC 2.3.2.31) (Double ring-finger protein) (Dorfin) (RING finger protein 19A) (p38)	microtubule cytoskeleton organization [GO:0000226]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]
Severe OA (pH 7.5)	Lower	GWK47_043825	938	-0.35	0.11	0.0060	2.22	IRF2BPL	Interferon regulatory factor 2-binding protein-like	Q7T2G1	1.87E-48	Interferon regulatory factor 2-binding protein 2-B (IRF-2-binding protein 2-B) (IRF-2BP2-B)	negative regulation of macrophage differentiation [GO:0045650]; regulation of transcription by RNA polymerase II [GO:0006357]
Severe OA (pH 7.5)	Lower	GWK47_037962	194	-0.36	0.09	0.0015	2.82	pan	Protein pangolin, isoform J	Q9NQB0	4.47E-22	Transcription factor 7-like 2 (HMG box transcription factor 4) (T-cell-specific transcription factor 4) (T-cell factor 4) (TCF-4) (hTCF-4)	blood vessel development [GO:0001568]; canonical Wnt signaling pathway [GO:0060070]; fat cell differentiation [GO:0045444]; glucose homeostasis [GO:0042593]; maintenance of DNA repeat elements [GO:0043570]; myoblast fate commitment [GO:0048625]; negative regulation of androgen receptor signaling pathway [GO:0060766]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of gluconeogenesis [GO:0045721]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of type B pancreatic cell apoptotic process [GO:2000675]; pancreas development [GO:0031016]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of heparan sulfate proteoglycan biosynthetic process [GO:0010909]; positive regulation of insulin secretion [GO:0032024]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of hormone metabolic process [GO:0032350]; regulation of smooth muscle cell proliferation [GO:0048660]; regulation of transcription by RNA polymerase II [GO:0006357]; response to glucose [GO:0009749]
Severe OA (pH 7.5)	Lower	GWK47_004203	13283	-0.36	0.09	0.0015	2.82		hypothetical protein				
Severe OA (pH 7.5)	Lower	GWK47_018445	87	-0.36	0.16	0.0306	1.51		hypothetical protein				
Severe OA (pH 7.5)	Lower	GWK47_023444	406	-0.36	0.14	0.0194	1.71		hypothetical protein				
Severe OA (pH 7.5)	Lower	GWK47_008836	17519	-0.37	0.19	0.0418	1.38	nrf-6_2	Nose resistant to fluoxetine protein 6	Q09225	6.06E-20	Nose resistant to fluoxetine protein 6 (Protein nrf-6)	lipid transport [GO:0006869]
